book_id,title,author,genre,publication_year,total_copies,available_copies,isbn,publisher,book_category,language,shelf_location,created_at,updated_at
1,Legacy of Shadow,Grace Adeyemi,Technology,2023,30,6,513-4797243342,Hachette,Non-Fiction,Swahili,G7-13,2016-06-01,2016-07-12
2,Inside Stars,David Smith,Self-Help,1996,23,5,477-9390055550,Penguin Random House,Non-Fiction,Swahili,D4-14,2021-08-08,2022-06-17
3,Secrets of Innovation,Linda Adeyemi,Mystery,1997,25,20,100-7353116031,HarperCollins,Fiction,French,D4-4,2017-10-22,2018-02-07
4,Rise of Stars,Grace Okafor,Thriller,2018,11,7,317-1698008332,Cambridge Press,Fiction,Swahili,F6-11,2019-05-10,2020-02-03
5,Secrets of Power,Linda Adeyemi,Business,2019,31,9,255-8399635933,Scholastic,Non-Fiction,English,F6-1,2022-01-03,2022-05-16
6,Beyond Future,John Garcia,Business,2010,7,6,895-9711771875,Hachette,Non-Fiction,Swahili,F6-8,2015-04-13,2015-11-25
7,Rise of Knowledge,James Okafor,Fantasy,2024,26,10,118-9483781475,Penguin Random House,Fiction,Swahili,F6-17,2020-05-11,2021-04-15
8,Inside Innovation,Sophia Brown,Technology,2007,37,4,951-4788731812,Penguin Random House,Non-Fiction,French,E5-17,2024-04-23,2024-12-23
9,Legacy of Dreams,James Williams,Thriller,2010,46,20,969-2025385110,Scholastic,Fiction,English,C3-16,2017-12-23,2018-02-27
10,Legacy of Shadow,Daniel Johnson,Science Fiction,2003,40,10,200-4218960088,Scholastic,Fiction,French,D4-13,2023-10-26,2023-12-25
11,Chronicles of Mind,Grace Okafor,Biography,2003,40,11,770-9467903552,Cambridge Press,Non-Fiction,French,E5-14,2017-03-28,2017-06-24
12,Journey to Shadow,Amina Brown,Biography,2017,6,6,278-1202142498,Cambridge Press,Non-Fiction,English,G7-3,2020-09-15,2021-01-23
13,Rise of Stars,Grace Martins,Self-Help,1996,6,5,525-7741418337,Cambridge Press,Non-Fiction,French,A1-8,2019-09-12,2020-08-26
14,Rise of Future,Daniel Okafor,Biography,2019,18,15,255-2248382491,Oxford Press,Non-Fiction,Arabic,C3-2,2020-01-26,2020-06-16
15,Fall of Destiny,David Garcia,Thriller,2022,31,16,502-3196506891,Hachette,Fiction,Arabic,B2-18,2016-03-15,2016-12-09
16,Legacy of Power,David Williams,Biography,2004,24,22,904-2581815467,Cambridge Press,Non-Fiction,French,F6-14,2019-07-26,2019-09-21
17,Fall of Dreams,Grace Smith,Thriller,2011,48,44,218-2295892394,Hachette,Fiction,English,G7-18,2018-07-22,2019-04-05
18,Fall of Destiny,Michael Adeyemi,Biography,1997,11,11,393-6583731293,Macmillan,Non-Fiction,French,B2-8,2019-08-02,2020-03-01
19,Legacy of Dreams,Grace Martins,Science Fiction,2004,7,7,939-6450681968,Macmillan,Fiction,Arabic,H8-17,2023-07-22,2024-02-06
20,Inside Shadow,John Williams,Mystery,2005,31,16,997-6891613744,Oxford Press,Fiction,Arabic,D4-10,2023-03-08,2023-05-18
